layer,loss_train,accuracy_train,precision_train,recall_train,f1_train,loss_test,accuracy_test,precision_test,recall_test,f1_test
LSTM,0.6932307481765747,0.5006672143936157,0.5006672004270083,1.0,0.6672594700337898,0.6932956576347351,0.4984000027179718,0.4984,1.0,0.6652429257875067
GRU,0.6931671500205994,0.5006672143936157,0.5006672004270083,1.0,0.6672594700337898,0.6932024359703064,0.4984000027179718,0.4984,1.0,0.6652429257875067
SimpleRNN,0.6949942708015442,0.4993327856063843,0.0,0.0,0.0,0.694724440574646,0.5016000270843506,0.0,0.0,0.0
