name_model,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,conf_matx_test,conf_matx_train
countVectorizer_regresion,0.7819589004536963,0.8138707765263782,0.7318763326226013,0.7706988492843109,0.7544,0.7752613240418118,0.7142857142857143,0.7435254803675857,"[[498 129]
 [178 445]]","[[1557  314]
 [ 503 1373]]"
countVectorizer_boosting,0.8030424339471577,0.8244013683010262,0.7707889125799574,0.7966942148760332,0.7392,0.7600700525394045,0.6966292134831461,0.726968174204355,"[[490 137]
 [189 434]]","[[1563  308]
 [ 430 1446]]"
tfidf_regresion,0.785962103015746,0.7934426229508197,0.7739872068230277,0.7835941716135996,0.7648,0.7615262321144675,0.7688603531300161,0.7651757188498404,"[[477 150]
 [144 479]]","[[1493  378]
 [ 424 1452]]"
tfidf_boosting,0.8718975180144115,0.8835164835164835,0.8571428571428571,0.8701298701298701,0.7592,0.7596774193548387,0.7560192616372392,0.7578439259855189,"[[478 149]
 [152 471]]","[[1659  212]
 [ 268 1608]]"
