name_model,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,conf_matx_test,conf_matx_train
countVectorizer_regresion,0.7819589004536963,0.8138707765263782,0.7318763326226013,0.7706988492843109,0.7544,0.7752613240418118,0.7142857142857143,0.7435254803675857,"[[498 129]
 [178 445]]","[[1557  314]
 [ 503 1373]]"
countVectorizer_boosting,0.8030424339471577,0.8255148741418764,0.7691897654584222,0.7963576158940397,0.7392,0.7529812606473595,0.709470304975923,0.7305785123966942,"[[482 145]
 [181 442]]","[[1566  305]
 [ 433 1443]]"
tfidf_regresion,0.785962103015746,0.7934426229508197,0.7739872068230277,0.7835941716135996,0.7648,0.7615262321144675,0.7688603531300161,0.7651757188498404,"[[477 150]
 [144 479]]","[[1493  378]
 [ 424 1452]]"
tfidf_boosting,0.8737656792100347,0.8882125069175429,0.855543710021322,0.8715720879717622,0.7528,0.7507987220447284,0.7544141252006421,0.7526020816653324,"[[471 156]
 [153 470]]","[[1669  202]
 [ 271 1605]]"
